Year,Month,Region,Model,Estimated_Deliveries,Production_Units,Avg_Price_USD,Battery_Capacity_kWh,Range_km,CO2_Saved_tons,Source_Type,Charging_Stations,Region_Code,Model_Code,Source_Type_Code
2015,3,Middle East,Model 3,1899.0,2125.0,68958.26,60,343,97.7,Estimated (Region),3941,2,1,0
2023,3,Europe,Model S,17330.0,18767.0,67727.18,82,490,1273.75,Estimated (Region),3343,1,2,0
2019,8,Asia,Model Y,15165.0,16539.0,94101.31,60,342,777.96,Interpolated (Month),4731,0,4,1
2017,12,Europe,Model S,13031.0,13160.0,51340.88,60,354,691.95,Official (Quarter),9296,1,2,2
2023,6,Europe,Model S,13583.0,14019.0,55191.14,100,594,1210.25,Estimated (Region),13172,1,2,0
2022,7,Europe,Model S,11182.0,11651.0,57416.91,60,333,558.54,Estimated (Region),6494,1,2,0
2019,4,Asia,Model X,11163.0,12314.0,69143.22,82,481,805.41,Estimated (Region),3619,0,3,0
2023,1,North America,Model S,9835.0,9882.0,92861.79,82,480,708.12,Interpolated (Month),8000,3,2,1
2017,8,Asia,Model X,7581.0,8402.0,95971.06,100,585,665.23,Official (Quarter),3100,0,3,2
2025,1,North America,Model X,6076.0,6746.0,50549.14,120,692,630.69,Official (Quarter),12525,3,3,2
2018,12,North America,Cybertruck,8427.0,9430.0,115869.46,82,476,601.69,Estimated (Region),11899,3,0,0
2024,5,North America,Cybertruck,14312.0,14795.0,83375.67,60,333,714.88,Estimated (Region),7740,3,0,0
2021,2,Middle East,Model 3,14163.0,14499.0,98168.24,100,556,1181.19,Interpolated (Month),8104,2,1,1
2025,9,North America,Model 3,11340.0,11791.0,81180.36,60,351,597.05,Estimated (Region),7510,3,1,0
2025,11,Europe,Cybertruck,9171.0,10536.0,97489.87,100,586,806.13,Interpolated (Month),5555,1,0,1
2024,9,Asia,Model X,8409.0,8777.0,103557.81,100,588,741.67,Official (Quarter),6509,0,3,2
2016,9,Europe,Model X,14559.0,15638.0,107977.45,60,340,742.51,Official (Quarter),5085,1,3,2
2024,2,Asia,Cybertruck,17392.0,19926.0,55857.67,75,446,1163.52,Interpolated (Month),4513,0,0,1
2015,3,North America,Cybertruck,5716.0,6522.0,116775.0,60,357,306.09,Interpolated (Month),7441,3,0,1
2015,4,Asia,Model Y,7633.0,8492.0,102818.0,82,455,520.95,Estimated (Region),13830,0,4,0
2018,7,North America,Model S,7131.0,8189.0,97902.0,82,489,523.06,Official (Quarter),4710,3,2,2
2025,3,Asia,Model X,11956.0,13742.0,58158.12,120,710,1273.31,Estimated (Region),8997,0,3,0
2017,4,Asia,Cybertruck,5651.0,5846.0,50103.17,75,439,372.12,Interpolated (Month),14602,0,0,1
2018,8,North America,Model X,1240.0,1336.0,112760.23,82,459,85.37,Official (Quarter),3270,3,3,2
2025,5,North America,Model X,11008.0,11674.0,110366.63,75,419,691.85,Estimated (Region),9530,3,3,0
2022,12,Europe,Cybertruck,8171.0,9073.0,60650.35,82,488,598.12,Official (Quarter),13713,1,0,2
2018,2,Middle East,Cybertruck,15273.0,15975.0,52818.06,100,579,1326.46,Estimated (Region),7772,2,0,0
2021,5,Asia,Model S,9541.0,9929.0,109857.66,100,567,811.46,Official (Quarter),14676,0,2,2
2018,5,Asia,Model S,5894.0,6491.0,77715.61,120,705,623.29,Estimated (Region),8450,0,2,0
2015,7,North America,Cybertruck,4405.0,4472.0,60700.14,60,337,222.67,Official (Quarter),4928,3,0,2
2021,8,North America,Model S,7933.0,8430.0,85597.72,82,470,559.28,Official (Quarter),6248,3,2,2
2024,8,Europe,Model 3,11880.0,13074.0,62262.24,75,430,766.26,Estimated (Region),10781,1,1,0
2020,3,North America,Model X,11918.0,13671.0,60898.48,60,336,600.67,Interpolated (Month),5541,3,3,1
2019,1,North America,Model 3,13075.0,13668.0,87272.96,120,693,1359.15,Estimated (Region),10206,3,1,0
2015,4,Asia,Model S,13598.0,15097.0,106243.67,100,564,1150.39,Official (Quarter),5129,0,2,2
2019,4,Middle East,Model X,13892.0,15134.0,101770.68,100,560,1166.93,Interpolated (Month),13099,2,3,1
2017,8,North America,Model S,11311.0,12214.0,58077.62,60,348,590.43,Estimated (Region),4406,3,2,0
2018,8,Asia,Cybertruck,6880.0,7303.0,64678.32,120,718,740.98,Interpolated (Month),10747,0,0,1
2024,12,Asia,Model S,10239.0,11592.0,94708.94,120,683,1048.99,Estimated (Region),8109,0,2,0
2022,10,Middle East,Model 3,8455.0,9204.0,85264.14,60,349,442.62,Estimated (Region),14674,2,1,0
2020,9,Europe,Model 3,6496.0,6966.0,112078.21,75,426,415.09,Interpolated (Month),11996,1,1,1
2017,1,North America,Model S,6113.0,6850.0,69513.19,60,336,308.1,Estimated (Region),14489,3,2,0
2021,10,Middle East,Model X,11128.0,11881.0,78561.41,60,350,584.22,Official (Quarter),5998,2,3,2
2016,1,Asia,Cybertruck,8067.0,8485.0,75972.71,75,449,543.31,Interpolated (Month),3481,0,0,1
2016,10,North America,Model S,6258.0,7036.0,69706.48,60,356,334.18,Official (Quarter),4350,3,2,2
2023,12,Asia,Model S,5649.0,6211.0,64983.67,120,685,580.43,Estimated (Region),5372,0,2,0
2015,12,Asia,Model Y,5719.0,6486.0,66096.82,82,459,393.75,Official (Quarter),3373,0,4,2
2016,10,North America,Model X,9922.0,10370.0,91885.02,120,677,1007.58,Official (Quarter),6599,3,3,2
2021,2,Asia,Cybertruck,7648.0,8340.0,61475.22,60,352,403.81,Interpolated (Month),6614,0,0,1
2022,9,Middle East,Model Y,6952.0,7464.0,103792.75,82,460,479.69,Estimated (Region),6233,2,4,0
2024,7,Europe,Model 3,1492.0,1661.0,88072.56,75,445,99.59,Interpolated (Month),9522,1,1,1
2020,10,Middle East,Cybertruck,18392.0,19806.0,68744.2,120,687,1609.9825,Interpolated (Month),8649,2,0,1
2017,5,Europe,Model X,8451.0,9514.0,50799.26,82,479,607.2,Interpolated (Month),14643,1,3,1
2020,9,North America,Model 3,11467.0,13072.0,100397.17,120,705,1212.64,Official (Quarter),5628,3,1,2
2019,8,North America,Model S,11480.0,11915.0,54709.92,82,461,793.84,Interpolated (Month),13946,3,2,1
2019,9,Europe,Model S,9082.0,9942.0,88005.83,100,556,757.44,Estimated (Region),7509,1,2,0
2023,1,Europe,Model Y,14836.0,16172.0,97728.31,75,449,999.2,Interpolated (Month),5788,1,4,1
2024,3,North America,Model X,8283.0,8391.0,70066.15,75,441,547.92,Interpolated (Month),4819,3,3,1
2015,12,North America,Model 3,10586.0,11907.0,85522.74,120,660,1048.01,Interpolated (Month),6444,3,1,1
2020,8,Europe,Cybertruck,10062.0,10568.0,103557.46,82,468,706.35,Estimated (Region),8810,1,0,0
2021,11,Middle East,Model S,11748.0,13383.0,107986.47,120,679,1196.53,Official (Quarter),5847,2,2,2
2023,1,Middle East,Model X,6197.0,6673.0,66969.32,82,458,425.73,Official (Quarter),3778,2,3,2
2023,11,North America,Model X,5365.0,6034.0,71688.78,60,358,288.1,Interpolated (Month),5155,3,3,1
2025,8,Asia,Model S,11848.0,12443.0,104498.21,120,711,1263.59,Estimated (Region),8227,0,2,0
2022,6,North America,Model Y,10312.0,11133.0,106390.66,82,483,747.1,Estimated (Region),9976,3,4,0
2016,3,Middle East,Model Y,5249.0,5829.0,110395.8,120,673,529.89,Estimated (Region),4148,2,4,0
2025,12,Europe,Model 3,16501.0,18884.0,108207.45,100,573,1418.26,Interpolated (Month),11849,1,1,1
2019,3,Middle East,Model Y,13191.0,14990.0,50432.87,120,708,1400.88,Official (Quarter),14380,2,4,2
2021,3,Europe,Model 3,6907.0,6946.0,58613.65,100,599,620.59,Official (Quarter),6782,1,1,2
2021,4,Europe,Model 3,11164.0,11825.0,84455.13,120,712,1192.32,Official (Quarter),7954,1,1,2
2020,2,Europe,Model Y,13825.0,15834.0,83894.92,120,663,1374.9,Official (Quarter),9620,1,4,2
2020,5,Asia,Model S,5784.0,6156.0,70108.04,100,586,508.41,Estimated (Region),8440,0,2,0
2019,6,North America,Model 3,12341.0,12850.0,94737.55,120,680,1258.78,Official (Quarter),14972,3,1,2
2021,10,Europe,Model Y,12459.0,12777.0,112819.33,75,437,816.69,Official (Quarter),13582,1,4,2
2016,10,Asia,Model Y,12205.0,12670.0,75329.72,75,430,787.22,Official (Quarter),3547,0,4,2
2020,3,Asia,Model Y,10062.0,11450.0,68947.85,82,466,703.33,Official (Quarter),9827,0,4,2
2020,2,North America,Model 3,11404.0,11966.0,72021.13,100,575,983.59,Interpolated (Month),14288,3,1,1
2025,6,Asia,Model 3,9808.0,10413.0,100126.43,120,666,979.82,Estimated (Region),6245,0,1,0
2019,9,Middle East,Model X,8123.0,8610.0,116300.71,100,570,694.52,Interpolated (Month),12262,2,3,1
2016,12,North America,Model S,9646.0,9877.0,51634.65,120,705,1020.06,Interpolated (Month),8502,3,2,1
2025,10,Asia,Model X,5013.0,5164.0,54937.4,75,441,331.61,Official (Quarter),5996,0,3,2
2021,8,Asia,Model 3,10980.0,11716.0,105290.52,75,435,716.44,Official (Quarter),4357,0,1,2
2022,11,Middle East,Model Y,20337.625,21930.125,57673.97,60,352,1124.43,Estimated (Region),4630,2,4,0
2018,5,Middle East,Cybertruck,7086.0,8012.0,90388.71,120,680,722.77,Official (Quarter),12636,2,0,2
2016,4,Middle East,Model Y,12146.0,12776.0,118292.71,120,698,1271.69,Official (Quarter),12869,2,4,2
2019,2,Middle East,Cybertruck,17194.0,18978.0,96293.99,75,413,1065.17,Interpolated (Month),7419,2,0,1
2023,1,North America,Model 3,18636.0,20752.0,65890.09,82,460,1285.88,Official (Quarter),4937,3,1,2
2023,5,North America,Model Y,14130.0,16020.0,52154.82,75,440,932.58,Official (Quarter),12105,3,4,2
2020,2,Europe,Cybertruck,19298.0,21732.0,119779.45,100,571,1609.9825,Interpolated (Month),6843,1,0,1
2019,6,Middle East,Model S,6954.0,7148.0,63176.25,100,559,583.09,Estimated (Region),3684,2,2,0
2021,7,Europe,Model S,1889.0,1946.0,81630.83,120,707,200.33,Estimated (Region),10085,1,2,0
2019,7,Middle East,Cybertruck,13064.0,14557.0,115532.36,100,597,1169.88,Interpolated (Month),5097,2,0,1
2023,12,Middle East,Cybertruck,8570.0,9786.0,60142.91,75,419,538.62,Estimated (Region),13352,2,0,0
2015,3,North America,Model Y,11364.0,12347.0,84476.24,75,419,714.23,Official (Quarter),11669,3,4,2
2020,1,Asia,Model S,16393.0,16411.0,86274.4,75,413,1015.55,Interpolated (Month),9830,0,2,1
2015,9,Asia,Model Y,14196.0,15525.0,78658.82,120,693,1475.67,Estimated (Region),8233,0,4,0
2023,6,Asia,Model S,7800.0,7816.0,104026.38,82,486,568.62,Interpolated (Month),10369,0,2,1
2018,5,Middle East,Model X,10524.0,11157.0,73665.91,120,667,1052.93,Official (Quarter),7700,2,3,2
2020,4,North America,Model 3,7971.0,8106.0,78445.65,82,470,561.96,Estimated (Region),9489,3,1,0
2015,10,Asia,Cybertruck,5675.0,6461.0,117974.08,120,716,609.49,Estimated (Region),8690,0,0,0
2015,9,Middle East,Model S,9613.0,10902.0,105989.87,75,428,617.15,Official (Quarter),3269,2,2,2
2017,9,Middle East,Model S,15315.0,16609.0,93722.98,120,711,1609.9825,Official (Quarter),10043,2,2,2
2021,12,Asia,Cybertruck,10989.0,12120.0,108894.97,120,684,1127.47,Interpolated (Month),12214,0,0,1
2024,11,Europe,Model X,6741.0,7454.0,97614.94,75,423,427.72,Interpolated (Month),6963,1,3,1
2019,3,Asia,Model 3,7660.0,8197.0,92412.78,75,428,491.77,Official (Quarter),3325,0,1,2
2018,7,Middle East,Model X,6750.0,7014.0,98646.72,75,433,438.41,Interpolated (Month),12554,2,3,1
2024,8,Middle East,Model 3,4293.0,4899.0,91215.62,100,565,363.83,Official (Quarter),8396,2,1,2
2022,3,Middle East,Cybertruck,10627.0,11394.0,93214.8,75,427,680.66,Official (Quarter),5380,2,0,2
2018,12,North America,Model 3,10972.0,12196.0,114344.56,100,571,939.75,Estimated (Region),7105,3,1,0
2021,7,Middle East,Model 3,8642.0,8738.0,85727.49,60,359,465.37,Official (Quarter),11318,2,1,2
2023,11,Europe,Model X,11323.0,12413.0,52155.06,120,703,1194.01,Interpolated (Month),13865,1,3,1
2022,11,Europe,Cybertruck,8918.0,9081.0,64841.95,60,330,441.44,Interpolated (Month),8207,1,0,1
2025,10,Asia,Model S,13514.0,14567.0,97725.78,60,343,695.3,Estimated (Region),5900,0,2,0
2016,7,Europe,Model X,14833.0,15941.0,55394.08,82,453,1007.9,Interpolated (Month),7010,1,3,1
2018,2,Europe,Model Y,2728.0,2744.0,69039.9,60,330,135.04,Interpolated (Month),14740,1,4,1
2017,12,Europe,Model X,12980.0,14796.0,68584.75,82,476,926.77,Official (Quarter),11141,1,3,2
2019,4,Middle East,Model 3,14637.0,15970.0,56200.48,120,700,1536.88,Estimated (Region),3769,2,1,0
2017,1,Middle East,Model S,2923.0,3251.0,72231.08,120,660,289.38,Estimated (Region),9133,2,2,0
2020,12,Europe,Cybertruck,2506.0,2586.0,96812.73,82,473,177.8,Estimated (Region),12994,1,0,0
2016,8,Asia,Model Y,6803.0,7012.0,111448.11,75,445,454.1,Estimated (Region),13446,0,4,0
2020,7,Middle East,Model Y,9358.0,9414.0,118902.54,120,683,958.73,Interpolated (Month),4826,2,4,1
2015,9,Asia,Model S,12372.0,12396.0,55985.6,100,560,1039.25,Interpolated (Month),3318,0,2,1
2016,9,North America,Model X,10096.0,11560.0,79243.27,100,599,907.13,Official (Quarter),11015,3,3,2
2018,8,Middle East,Cybertruck,13056.0,14836.0,75916.25,82,481,941.99,Interpolated (Month),13763,2,0,1
2021,10,Asia,Model X,7975.0,8297.0,103789.47,82,487,582.57,Estimated (Region),5658,0,3,0
2021,10,North America,Model S,14764.0,15765.0,79707.23,100,557,1233.53,Interpolated (Month),8116,3,2,1
2015,10,Europe,Model Y,12831.0,14369.0,98628.75,60,338,650.53,Official (Quarter),10082,1,4,2
2025,2,Middle East,Model X,8905.0,9306.0,95963.54,100,595,794.77,Official (Quarter),7807,2,3,2
2015,10,Middle East,Model 3,10384.0,10742.0,58439.68,120,664,1034.25,Official (Quarter),11355,2,1,2
2020,8,North America,Cybertruck,5817.0,6517.0,67287.58,60,356,310.63,Interpolated (Month),13929,3,0,1
2018,11,Asia,Model 3,7160.0,7549.0,107679.84,60,336,360.86,Official (Quarter),8628,0,1,2
2021,9,Asia,Model Y,9140.0,10036.0,116935.48,100,550,754.05,Interpolated (Month),5975,0,4,1
2025,1,Europe,Model Y,13291.0,14566.0,62104.57,100,584,1164.29,Official (Quarter),8126,1,4,2
2025,3,Middle East,Model 3,15264.0,16486.0,73693.64,120,699,1600.43,Interpolated (Month),11612,2,1,1
2016,5,North America,Model 3,12231.0,12905.0,54772.06,100,551,1010.89,Estimated (Region),4621,3,1,0
2015,12,Middle East,Cybertruck,17203.0,17897.0,105829.14,100,565,1457.95,Interpolated (Month),8462,2,0,1
2021,3,Europe,Model X,6517.0,6629.0,57489.39,75,439,429.14,Official (Quarter),13254,1,3,2
2016,12,North America,Model 3,8519.0,8888.0,113005.82,60,333,425.52,Interpolated (Month),14471,3,1,1
2022,5,Middle East,Cybertruck,17889.0,19907.0,110473.23,75,436,1169.94,Estimated (Region),13275,2,0,0
2017,5,Asia,Model X,14239.0,14773.0,93741.19,60,347,741.14,Official (Quarter),12993,0,3,2
2019,8,Asia,Cybertruck,8619.0,8892.0,101522.48,75,424,548.17,Official (Quarter),9072,0,0,2
2022,12,Europe,Model X,13132.0,14123.0,50985.58,100,550,1083.39,Estimated (Region),5881,1,3,0
2024,8,Asia,Model S,15865.0,17167.0,66182.31,60,340,809.11,Estimated (Region),10368,0,2,0
2023,11,Asia,Cybertruck,8624.0,9706.0,67412.03,60,342,442.41,Official (Quarter),11015,0,0,2
2022,3,Middle East,Model S,18486.0,21086.0,110350.71,100,594,1609.9825,Estimated (Region),8614,2,2,0
2023,8,Europe,Model X,11623.0,11690.0,102745.27,60,345,601.49,Interpolated (Month),7423,1,3,1
2018,3,Europe,Model S,8500.0,9229.0,106380.26,75,441,562.27,Interpolated (Month),4846,1,2,1
2020,5,Europe,Model S,10841.0,12455.0,78552.6,60,338,549.64,Estimated (Region),9694,1,2,0
2021,3,Asia,Model 3,7552.0,8187.0,56653.96,75,420,475.78,Official (Quarter),7961,0,1,2
2017,11,North America,Model S,9677.0,10121.0,107566.68,75,414,600.94,Interpolated (Month),8023,3,2,1
2019,7,Europe,Model Y,6164.0,6686.0,67662.59,60,357,330.08,Estimated (Region),6188,1,4,0
2015,9,Europe,Model Y,5111.0,5187.0,67022.05,75,439,336.56,Interpolated (Month),13268,1,4,1
2019,10,Europe,Cybertruck,5655.0,6381.0,56946.64,60,332,281.62,Interpolated (Month),6152,1,0,1
2023,12,Asia,Cybertruck,11905.0,12981.0,90535.08,100,561,1001.81,Official (Quarter),3560,0,0,2
2022,2,Middle East,Model X,8449.0,9164.0,58017.3,120,719,911.22,Estimated (Region),8106,2,3,0
2020,4,Europe,Cybertruck,4068.0,4417.0,80929.76,75,425,259.33,Interpolated (Month),11957,1,0,1
2018,6,Asia,Model 3,15384.0,15892.0,93795.56,60,347,800.74,Official (Quarter),5218,0,1,2
2019,5,Europe,Model X,13602.0,14061.0,96362.25,75,435,887.53,Interpolated (Month),13981,1,3,1
2018,5,North America,Model X,17044.0,18626.0,63064.8,120,661,1609.9825,Estimated (Region),6414,3,3,0
2024,10,Europe,Cybertruck,11346.0,11431.0,77762.62,60,341,580.35,Official (Quarter),6417,1,0,2
2025,2,Europe,Model Y,1589.0,1658.0,62204.97,100,589,140.39,Official (Quarter),14464,1,4,2
2019,2,Asia,Model S,9546.0,10021.0,99056.59,60,352,504.03,Estimated (Region),14152,0,2,0
2023,11,North America,Cybertruck,11986.0,12577.0,87376.96,60,331,595.1,Estimated (Region),5504,3,0,0
2016,12,North America,Model Y,8664.0,9913.0,77263.73,120,683,887.63,Interpolated (Month),7084,3,4,1
2023,2,Asia,Cybertruck,14614.0,16080.0,115963.41,60,354,776.0,Estimated (Region),3503,0,0,0
2021,4,Asia,Model X,8454.0,8914.0,94870.42,82,487,617.56,Interpolated (Month),4967,0,3,1
2018,12,North America,Model X,9743.0,10457.0,74615.49,100,595,869.56,Estimated (Region),9827,3,3,0
2016,10,Middle East,Cybertruck,6815.0,7829.0,59204.24,60,338,345.52,Estimated (Region),7734,2,0,0
2019,6,Asia,Model 3,8068.0,8161.0,96953.55,75,443,536.12,Estimated (Region),5935,0,1,0
2019,1,Europe,Cybertruck,8718.0,9352.0,55978.21,75,448,585.85,Estimated (Region),9216,1,0,0
2024,6,Europe,Model Y,3651.0,4028.0,89589.5,120,664,363.64,Official (Quarter),4951,1,4,2
2022,10,Europe,Model 3,20337.625,21930.125,95174.19,60,342,1069.14,Official (Quarter),14164,1,1,2
2015,5,Asia,Model Y,7896.0,8722.0,87526.75,100,565,669.19,Interpolated (Month),12765,0,4,1
2024,10,Europe,Model Y,5697.0,6406.0,74881.46,100,564,481.97,Official (Quarter),13090,1,4,2
2018,8,North America,Model 3,9870.0,10128.0,83015.46,100,554,820.2,Interpolated (Month),10508,3,1,1
2021,5,North America,Cybertruck,2210.0,2460.0,68015.58,100,584,193.6,Interpolated (Month),3476,3,0,1
2021,10,North America,Cybertruck,14193.0,15440.0,97193.45,75,442,941.0,Estimated (Region),10909,3,0,0
2020,12,North America,Model 3,15569.0,16988.0,78329.41,100,561,1310.13,Estimated (Region),6085,3,1,0
2015,7,Asia,Cybertruck,113.0,118.0,115067.04,120,709,12.02,Interpolated (Month),14580,0,0,1
2018,8,Europe,Model 3,18499.0,19682.0,93079.45,82,454,1259.78,Estimated (Region),4053,1,1,0
2021,1,North America,Cybertruck,6006.0,6007.0,58411.15,75,432,389.19,Interpolated (Month),11101,3,0,1
2019,7,Middle East,Model Y,9124.0,9987.0,80109.99,120,686,938.86,Interpolated (Month),6724,2,4,1
2022,3,Europe,Model Y,14670.0,15394.0,59676.25,82,467,1027.63,Interpolated (Month),14758,1,4,1
2025,8,Europe,Model S,1129.0,1160.0,108825.31,60,333,56.39,Estimated (Region),5579,1,2,0
2022,8,Asia,Model X,11585.0,12840.0,63331.99,120,686,1192.1,Estimated (Region),3858,0,3,0
2020,4,Middle East,Model Y,10318.0,11341.0,113229.15,82,455,704.2,Official (Quarter),5784,2,4,2
2025,4,Middle East,Model Y,10058.0,11457.0,78513.44,75,449,677.41,Estimated (Region),9950,2,4,0
2021,4,North America,Model 3,16328.0,17674.0,112147.23,120,666,1609.9825,Official (Quarter),12871,3,1,2
2023,3,Europe,Model Y,11869.0,12314.0,79193.41,120,681,1212.42,Official (Quarter),13305,1,4,2
2022,2,Asia,Model Y,13461.0,14069.0,90476.09,60,344,694.59,Official (Quarter),9954,0,4,2
2021,9,Middle East,Model 3,10064.0,10320.0,72127.34,75,428,646.11,Official (Quarter),6711,2,1,2
2024,6,North America,Model 3,5897.0,6006.0,84944.81,100,566,500.66,Estimated (Region),6549,3,1,0
2021,11,North America,Cybertruck,6204.0,6702.0,81440.37,100,572,532.3,Official (Quarter),4093,3,0,2
2015,9,Middle East,Model Y,10783.0,11226.0,88792.46,82,477,771.52,Estimated (Region),12956,2,4,0
2022,7,Middle East,Model X,8386.0,8428.0,91520.92,75,419,527.06,Official (Quarter),7151,2,3,2
2016,11,Middle East,Model X,15582.0,17164.0,92404.55,120,681,1591.7,Estimated (Region),5614,2,3,0
2016,6,Asia,Cybertruck,7885.0,8483.0,108849.21,82,481,568.9,Estimated (Region),9506,0,0,0
2017,5,North America,Cybertruck,7766.0,8156.0,118496.78,60,355,413.54,Estimated (Region),11414,3,0,0
2021,8,Asia,Model X,9136.0,9679.0,102048.1,82,474,649.57,Estimated (Region),7657,0,3,0
2022,12,North America,Model X,10666.0,11185.0,70537.28,120,662,1059.13,Official (Quarter),12789,3,3,2
2021,6,North America,Cybertruck,3639.0,4038.0,66952.84,75,418,228.17,Estimated (Region),9358,3,0,0
2019,3,North America,Model S,9776.0,10512.0,113695.11,82,480,703.87,Interpolated (Month),9984,3,2,1
2022,7,North America,Model Y,16921.0,18220.0,75209.95,75,429,1088.87,Estimated (Region),11278,3,4,0
2021,7,Europe,Cybertruck,5159.0,5872.0,118495.42,100,550,425.62,Interpolated (Month),10472,1,0,1
2019,6,Middle East,Model Y,14754.0,16395.0,97266.16,82,459,1015.81,Estimated (Region),7229,2,4,0
2016,10,Middle East,Model 3,8763.0,9817.0,90043.41,75,431,566.53,Estimated (Region),6521,2,1,0
2021,7,North America,Model S,5168.0,5266.0,54097.56,82,463,358.92,Estimated (Region),4891,3,2,0
2015,11,Asia,Model S,15682.0,17319.0,60772.71,82,484,1138.51,Interpolated (Month),5693,0,2,1
2024,5,North America,Model Y,13749.0,14635.0,94909.92,100,590,1216.79,Official (Quarter),3067,3,4,2
2024,11,Asia,Model 3,12742.0,14279.0,64495.94,120,680,1299.68,Estimated (Region),4610,0,1,0
2022,1,Asia,Model S,7476.0,7781.0,108224.97,60,359,402.58,Estimated (Region),8926,0,2,0
2016,3,Europe,Cybertruck,9749.0,10459.0,67974.36,82,462,675.61,Interpolated (Month),6687,1,0,1
2023,11,Europe,Model 3,10577.0,12068.0,88815.88,100,580,920.2,Official (Quarter),14723,1,1,2
2018,8,Europe,Cybertruck,8415.0,9592.0,51409.65,75,418,527.62,Official (Quarter),13634,1,0,2
2025,12,North America,Cybertruck,9701.0,10572.0,66908.0,82,471,685.38,Official (Quarter),3889,3,0,2
2017,2,Europe,Model 3,12488.0,13372.0,111610.97,75,420,786.74,Official (Quarter),11133,1,1,2
2022,10,Europe,Cybertruck,11173.0,11362.0,107979.15,82,461,772.61,Estimated (Region),12327,1,0,0
